,Year,Month,PDO_anomaly
0,1996,10.0,-0.33
1,1997,10.0,1.61
2,1998,10.0,-1.39
3,1999,10.0,-2.23
4,2000,10.0,-1.3
5,2001,10.0,-1.37
6,2002,10.0,0.42
7,2003,10.0,0.83
8,2004,10.0,-0.11
9,2005,10.0,-1.32
10,2006,10.0,-0.05
11,2007,10.0,-1.45
12,2008,10.0,-1.76
13,2009,10.0,0.27
14,2010,10.0,-1.06
15,2011,10.0,-1.34
16,2012,10.0,-0.79
17,2013,10.0,-0.87
18,2014,10.0,1.49
19,2015,10.0,1.47
20,2016,10.0,0.56
21,2017,10.0,0.05
22,2018,10.0,0.26
23,2019,10.0,-0.45
24,2020,10.0,-0.69
25,1996,11.0,0.09
26,1997,11.0,1.12
27,1998,11.0,-0.52
28,1999,11.0,-2.05
29,2000,11.0,-0.53
30,2001,11.0,-1.26
31,2002,11.0,1.51
32,2003,11.0,0.52
33,2004,11.0,-0.63
34,2005,11.0,-1.5
35,2006,11.0,-0.22
36,2007,11.0,-1.08
37,2008,11.0,-1.25
38,2009,11.0,-0.4
39,2010,11.0,-0.82
40,2011,11.0,-2.33
41,2012,11.0,-0.59
42,2013,11.0,-0.11
43,2014,11.0,1.72
44,2015,11.0,0.86
45,2016,11.0,1.88
46,2017,11.0,0.15
47,2018,11.0,-0.05
48,2019,11.0,0.15
49,2020,11.0,-1.12
50,1996,12.0,-0.03
51,1997,12.0,0.67
52,1998,12.0,-0.44
53,1999,12.0,-1.63
54,2000,12.0,0.52
55,2001,12.0,-0.93
56,2002,12.0,2.1
57,2003,12.0,0.33
58,2004,12.0,-0.17
59,2005,12.0,0.2
60,2006,12.0,0.14
61,2007,12.0,-0.58
62,2008,12.0,-0.87
63,2009,12.0,0.08
64,2010,12.0,-1.21
65,2011,12.0,-1.79
66,2012,12.0,-0.48
67,2013,12.0,-0.41
68,2014,12.0,2.51
69,2015,12.0,1.01
70,2016,12.0,1.17
71,2017,12.0,0.5
72,2018,12.0,0.52
73,2019,12.0,0.97
74,2020,12.0,-9.9
75,1996,1.0,0.23
76,1997,1.0,0.83
77,1998,1.0,-0.32
78,1999,1.0,-2.0
79,2000,1.0,0.6
80,2001,1.0,0.27
81,2002,1.0,2.09
82,2003,1.0,0.43
83,2004,1.0,0.44
84,2005,1.0,1.03
85,2006,1.0,0.01
86,2007,1.0,-1.0
87,2008,1.0,-1.4
88,2009,1.0,0.83
89,2010,1.0,-0.92
90,2011,1.0,-1.38
91,2012,1.0,-0.13
92,2013,1.0,0.3
93,2014,1.0,2.45
94,2015,1.0,1.53
95,2016,1.0,0.77
96,2017,1.0,0.7
97,2018,1.0,0.66
98,2019,1.0,-0.23
99,2020,1.0,
100,1996,2.0,0.28
101,1997,2.0,1.56
102,1998,2.0,-0.66
103,1999,2.0,-0.83
104,2000,2.0,0.29
105,2001,2.0,-0.64
106,2002,2.0,1.75
107,2003,2.0,0.48
108,2004,2.0,0.81
109,2005,2.0,0.66
110,2006,2.0,0.04
111,2007,2.0,-0.77
112,2008,2.0,-1.55
113,2009,2.0,0.82
114,2010,2.0,-0.83
115,2011,2.0,-0.85
116,2012,2.0,-0.43
117,2013,2.0,0.38
118,2014,2.0,2.3
119,2015,2.0,1.75
120,2016,2.0,0.7
121,2017,2.0,0.37
122,2018,2.0,0.46
123,2019,2.0,-0.68
124,2020,2.0,
125,1996,3.0,0.65
126,1997,3.0,2.01
127,1998,3.0,-0.33
128,1999,3.0,0.29
129,2000,3.0,0.45
130,2001,3.0,-0.43
131,2002,3.0,1.51
132,2003,3.0,0.61
133,2004,3.0,1.36
134,2005,3.0,0.05
135,2006,3.0,-0.36
136,2007,3.0,-0.71
137,2008,3.0,-1.59
138,2009,3.0,0.44
139,2010,3.0,-0.69
140,2011,3.0,-1.05
141,2012,3.0,-0.63
142,2013,3.0,0.97
143,2014,3.0,2.0
144,2015,3.0,2.4
145,2016,3.0,0.74
146,2017,3.0,-0.05
147,2018,3.0,0.37
148,2019,3.0,-0.82
149,2020,3.0,
150,1996,4.0,1.05
151,1997,4.0,1.27
152,1998,4.0,-0.41
153,1999,4.0,0.35
154,2000,4.0,-0.31
155,2001,4.0,-0.32
156,2002,4.0,1.18
157,2003,4.0,0.57
158,2004,4.0,1.03
159,2005,4.0,0.4
160,2006,4.0,0.16
161,2007,4.0,-1.52
162,2008,4.0,-1.65
163,2009,4.0,0.78
164,2010,4.0,-0.42
165,2011,4.0,-0.27
166,2012,4.0,-0.16
167,2013,4.0,1.13
168,2014,4.0,1.44
169,2015,4.0,2.62
170,2016,4.0,1.12
171,2017,4.0,0.11
172,2018,4.0,1.07
173,2019,4.0,-0.57
174,2020,4.0,
175,1996,5.0,1.83
176,1997,5.0,0.7
177,1998,5.0,-0.68
178,1999,5.0,-0.05
179,2000,5.0,-0.3
180,2001,5.0,-0.63
181,2002,5.0,0.89
182,2003,5.0,0.88
183,2004,5.0,1.86
